gene,gene_synonym
LOC646044,-single stranded DNA binding protein 4 pseudogene 
LOC646674,-single stranded DNA binding protein 4 pseudogene 
LOC100132698,-single stranded DNA binding protein 4 pseudogene 
LOC100132723,-single stranded DNA binding protein 4 pseudogene 
SMCO4P1,-single-pass membrane protein with coiled-coil domains 4 pseudogene 1 
SMUG1P1,-single-strand-selective monofunctional uracil-DNA glycosylase 1 pseudogene 1 
SIRPG-AS1,-SIRPG antisense RNA 1 
LOC100133029,-sirtuin 5 pseudogene 
SIX2,-SIX homeobox 2 
LOC107986084,-Sjoegren syndrome nuclear autoantigen 1 homolog 
SKAP1-AS1,-SKAP1 antisense RNA 1 
SHEP8,"-Skin/hair/eye pigmentation 8, freckling "
LOC101928202,-SLAM family member 5 
SLAMF6P1,-SLAM family member 6 pseudogene 1 
SLC10A5P1,-SLC10A5 pseudogene 1 
SLC12A5-AS1,-SLC12A5 and MMP9 antisense RNA 1 
SLC12A9-AS1,-SLC12A9 antisense RNA 1 
SLC14A2-AS1,-SLC14A2 antisense RNA 1 
SLC16A1-AS1,-SLC16A1 antisense RNA 1 
SLC16A1P1,-SLC16A1 pseudogene 1 
SLC16A12-AS1,-SLC16A12 antisense RNA 1 
SLC16A6P1,-SLC16A6 pseudogene 1 
SLC25A21-AS1,-SLC25A21 antisense RNA 1 
SLC25A24P1,-SLC25A24 pseudogene 1 
SLC25A24P2,-SLC25A24 pseudogene 2 
SLC25A25-AS1,-SLC25A25 antisense RNA 1 
SLC25A30-AS1,-SLC25A30 antisense RNA 1 
SLC25A34-AS1,-SLC25A34 and TMEM82 antisense RNA 1 
SLC25A36P1,-SLC25A36 pseudogene 1 
SLC25A39P2,-SLC25A39 pseudogene 2 
SLC25A5-AS1,-SLC25A5 antisense RNA 1 
SLC25A51P4,-SLC25A51 pseudogene 4 
SLC26A4-AS1,-SLC26A4 antisense RNA 1 
SLC26A9-AS1,-SLC26A9 and RAB7B antisense RNA 1 
SLC2A1-AS1,-SLC2A1 antisense RNA 1 
SLC2A13P1,-SLC2A13 pseudogene 1 
SLC39A12-AS1,-SLC39A12 antisense RNA 1 
SLC47A1P1,-SLC47A1 pseudogene 1 
SLC47A1P2,-SLC47A1 pseudogene 2 
SLC5A4-AS1,-SLC5A4 antisense RNA 1 
SLC6A1-AS1,-SLC6A1 antisense RNA 1 
SLC7A11-AS1,-SLC7A11 antisense RNA 1 
SLC7A14-AS1,-SLC7A14 antisense RNA 1 
SLC8A1-AS1,-SLC8A1 antisense RNA 1 
SLC9A9-AS1,-SLC9A9 antisense RNA 1 
SLC9A9-AS2,-SLC9A9 antisense RNA 2 
SLCO4A1-AS1,-SLCO4A1 antisense RNA 1 
SLFNL1-AS1,-SLFNL1 antisense RNA 1 
SLITRK3,-SLIT and NTRK like family member 3 
SLITRK4,-SLIT and NTRK like family member 4 
SRGAP2D,-SLIT-ROBO Rho GTPase activating protein 2D (pseudogene) 
SLIT1-AS1,-SLIT1 antisense RNA 1 
SLIT2-IT1,-SLIT2 intronic transcript 1 
SMURF1,-SMAD specific E3 ubiquitin protein ligase 1 
SMURF2,-SMAD specific E3 ubiquitin protein ligase 2 
SMURF2P1,-SMAD specific E3 ubiquitin protein ligase 2 pseudogene 1 
SMAD1-AS1,-SMAD1 antisense RNA 1 
SMAD1-AS2,-SMAD1 antisense RNA 2 
SCARNA18B,-small Cajal body-specific RNA 18B 
SCARNA21B,-small Cajal body-specific RNA 21B 
SCARNA26A,-small Cajal body-specific RNA 26A 
SCARNA26B,-small Cajal body-specific RNA 26B 
SCARNA27,-small Cajal body-specific RNA 27 
SCARNA9L,-small Cajal body-specific RNA 9 like 
LOC107984816,-small EDRK-rich factor 1 pseudogene 
SERF1AP1,-small EDRK-rich factor 1A pseudogene 1 
LOC100131747,-small EDRK-rich factor 2 pseudogene 
LOC100131877,-small EDRK-rich factor 2 pseudogene 
LOC101926973,-small EDRK-rich factor 2 pseudogene 
LOC107986207,-small EDRK-rich factor 2 pseudogene 
LOC100421121,-small G protein signaling modulator 1 pseudogene 
SMIM10L1,-small integral membrane protein 10 like 1 
LOC105369778,-small integral membrane protein 10-like protein 2A 
SMIM11B,-small integral membrane protein 11B 
SMIM12P1,-small integral membrane protein 12 pseudogene 1 
LOC101927923,-small integral membrane protein 12-like 
LOC107986780,-small integral membrane protein 14 pseudogene 
LOC107985631,-small integral membrane protein 15-like 
LOC107986889,-small integral membrane protein 15-like 
SMIM17,-small integral membrane protein 17 
SMIM18,-small integral membrane protein 18 
LOC112268428,-small integral membrane protein 26-like 
SMIM28,-small integral membrane protein 28 
LOC107984479,-small integral membrane protein 3-like 
LOC112267964,-small integral membrane protein 30-like 
LOC112268094,-small integral membrane protein 30-like 
LOC112268264,-small integral membrane protein 30-like 
LOC112268306,-small integral membrane protein 30-like 
LOC112268417,-small integral membrane protein 30-like 
SMIM32,-small integral membrane protein 32 
SMIM33,-small integral membrane protein 33 
SMIM34A,-small integral membrane protein 34A 
SMIM34B,-small integral membrane protein 34B 
SMIM36,-small integral membrane protein 36 
SMIM38,-small integral membrane protein 38 
SMIM39,-small integral membrane protein 39 
SMIM40,-small integral membrane protein 40 
SMIM41,-small integral membrane protein 41 
LOC100130842,-small integral membrane protein 7 pseudogene 
SMLR1,-small leucine rich protein 1 
SMKR1,-small lysine rich protein 1 
SNRPD2P2,-small nuclear ribonucleoprotein D2 pseudogene 2 
LOC150417,-small nuclear ribonucleoprotein polypeptide A' pseudogene 
bA395L14.12,-small nuclear ribonucleoprotein polypeptide A' pseudogene 
SNRPCP1,-small nuclear ribonucleoprotein polypeptide C pseudogene 1 
SNRPCP10,-small nuclear ribonucleoprotein polypeptide C pseudogene 10 
SNRPCP11,-small nuclear ribonucleoprotein polypeptide C pseudogene 11 
SNRPCP12,-small nuclear ribonucleoprotein polypeptide C pseudogene 12 
SNRPCP13,-small nuclear ribonucleoprotein polypeptide C pseudogene 13 
SNRPCP14,-small nuclear ribonucleoprotein polypeptide C pseudogene 14 
SNRPCP15,-small nuclear ribonucleoprotein polypeptide C pseudogene 15 
SNRPCP16,-small nuclear ribonucleoprotein polypeptide C pseudogene 16 
SNRPCP17,-small nuclear ribonucleoprotein polypeptide C pseudogene 17 
SNRPCP18,-small nuclear ribonucleoprotein polypeptide C pseudogene 18 
SNRPCP19,-small nuclear ribonucleoprotein polypeptide C pseudogene 19 
SNRPCP2,-small nuclear ribonucleoprotein polypeptide C pseudogene 2 
SNRPCP20,-small nuclear ribonucleoprotein polypeptide C pseudogene 20 
SNRPCP3,-small nuclear ribonucleoprotein polypeptide C pseudogene 3 
SNRPCP4,-small nuclear ribonucleoprotein polypeptide C pseudogene 4 
SNRPCP5,-small nuclear ribonucleoprotein polypeptide C pseudogene 5 
SNRPCP6,-small nuclear ribonucleoprotein polypeptide C pseudogene 6 
SNRPCP7,-small nuclear ribonucleoprotein polypeptide C pseudogene 7 
SNRPCP8,-small nuclear ribonucleoprotein polypeptide C pseudogene 8 
SNRPCP9,-small nuclear ribonucleoprotein polypeptide C pseudogene 9 
SNRPEP1,-small nuclear ribonucleoprotein polypeptide E pseudogene 1 
SNRPEP10,-small nuclear ribonucleoprotein polypeptide E pseudogene 10 
SNRPEP3,-small nuclear ribonucleoprotein polypeptide E pseudogene 3 
SNRPEP4,-small nuclear ribonucleoprotein polypeptide E pseudogene 4 
SNRPEP5,-small nuclear ribonucleoprotein polypeptide E pseudogene 5 
SNRPEP6,-small nuclear ribonucleoprotein polypeptide E pseudogene 6 
SNRPEP7,-small nuclear ribonucleoprotein polypeptide E pseudogene 7 
SNRPEP8,-small nuclear ribonucleoprotein polypeptide E pseudogene 8 
SNRPEP9,-small nuclear ribonucleoprotein polypeptide E pseudogene 9 
SNRPFP2,-small nuclear ribonucleoprotein polypeptide F pseudogene 2 
SNRPFP3,-small nuclear ribonucleoprotein polypeptide F pseudogene 3 
SNRPFP4,-small nuclear ribonucleoprotein polypeptide F pseudogene 4 
SNRPGP10,-small nuclear ribonucleoprotein polypeptide G pseudogene 10 
SNRPGP11,-small nuclear ribonucleoprotein polypeptide G pseudogene 11 
SNRPGP12,-small nuclear ribonucleoprotein polypeptide G pseudogene 12 
SNRPGP13,-small nuclear ribonucleoprotein polypeptide G pseudogene 13 
SNRPGP14,-small nuclear ribonucleoprotein polypeptide G pseudogene 14 
SNRPGP15,-small nuclear ribonucleoprotein polypeptide G pseudogene 15 
SNRPGP16,-small nuclear ribonucleoprotein polypeptide G pseudogene 16 
SNRPGP17,-small nuclear ribonucleoprotein polypeptide G pseudogene 17 
SNRPGP18,-small nuclear ribonucleoprotein polypeptide G pseudogene 18 
SNRPGP19,-small nuclear ribonucleoprotein polypeptide G pseudogene 19 
SNRPGP20,-small nuclear ribonucleoprotein polypeptide G pseudogene 20 
SNRPGP3,-small nuclear ribonucleoprotein polypeptide G pseudogene 3 
SNRPGP4,-small nuclear ribonucleoprotein polypeptide G pseudogene 4 
SNRPGP5,-small nuclear ribonucleoprotein polypeptide G pseudogene 5 
SNRPGP6,-small nuclear ribonucleoprotein polypeptide G pseudogene 6 
SNRPGP7,-small nuclear ribonucleoprotein polypeptide G pseudogene 7 
SNRPGP8,-small nuclear ribonucleoprotein polypeptide G pseudogene 8 
SNRPGP9,-small nuclear ribonucleoprotein polypeptide G pseudogene 9 
SNRPBP1,-small nuclear ribonucleoprotein polypeptides B and B1 pseudogene 1 
LOC402230,-small nuclear ribonucleoprotein U4/U6.U5 subunit 27 pseudogene 
LOC751837,-small nuclear ribonucleoprotein U5 subunit 40 pseudogene 
SNAPC5P1,-small nuclear RNA activating complex polypeptide 5 pseudogene 1 
SNHG17,-small nucleolar RNA host gene 17 
SNHG18,-small nucleolar RNA host gene 18 
SNHG25,-small nucleolar RNA host gene 25 
SNHG26,-small nucleolar RNA host gene 26 
SNHG27,-small nucleolar RNA host gene 27 
SNHG31,-small nucleolar RNA host gene 31 
SNORD105B,"-small nucleolar RNA, C/D box 105B "
SNORD119,"-small nucleolar RNA, C/D box 119 "
SNORD11B,"-small nucleolar RNA, C/D box 11B "
SNORD121A,"-small nucleolar RNA, C/D box 121A "
SNORD121B,"-small nucleolar RNA, C/D box 121B "
SNORD123,"-small nucleolar RNA, C/D box 123 "
SNORD124,"-small nucleolar RNA, C/D box 124 "
SNORD125,"-small nucleolar RNA, C/D box 125 "
SNORD127,"-small nucleolar RNA, C/D box 127 "
SNORD129,"-small nucleolar RNA, C/D box 129 "
SNORD12B,"-small nucleolar RNA, C/D box 12B "
SNORD130,"-small nucleolar RNA, C/D box 130 "
SNORD131,"-small nucleolar RNA, C/D box 131 "
SNORD132,"-small nucleolar RNA, C/D box 132 "
SNORD137,"-small nucleolar RNA, C/D box 137 "
SNORD13B-1,"-small nucleolar RNA, C/D box 13B-1 "
SNORD13B-2,"-small nucleolar RNA, C/D box 13B-2 "
SNORD13C,"-small nucleolar RNA, C/D box 13C "
SNORD13D,"-small nucleolar RNA, C/D box 13D "
SNORD13E,"-small nucleolar RNA, C/D box 13E "
SNORD13F,"-small nucleolar RNA, C/D box 13F "
SNORD13G,"-small nucleolar RNA, C/D box 13G "
SNORD13H,"-small nucleolar RNA, C/D box 13H "
SNORD13I,"-small nucleolar RNA, C/D box 13I "
SNORD13J,"-small nucleolar RNA, C/D box 13J "
SNORD140,"-small nucleolar RNA, C/D box 140 "
SNORD141A,"-small nucleolar RNA, C/D box 141A "
SNORD141B,"-small nucleolar RNA, C/D box 141B "
SNORD145,"-small nucleolar RNA, C/D box 145 "
SNORD146,"-small nucleolar RNA, C/D box 146 "
SNORD147,"-small nucleolar RNA, C/D box 147 "
SNORD148,"-small nucleolar RNA, C/D box 148 "
SNORD149,"-small nucleolar RNA, C/D box 149 "
SNORD14C,"-small nucleolar RNA, C/D box 14C "
SNORD14D,"-small nucleolar RNA, C/D box 14D "
SNORD14E,"-small nucleolar RNA, C/D box 14E "
SNORD150,"-small nucleolar RNA, C/D box 150 "
SNORD151,"-small nucleolar RNA, C/D box 151 "
SNORD152,"-small nucleolar RNA, C/D box 152 "
SNORD153,"-small nucleolar RNA, C/D box 153 "
SNORD154,"-small nucleolar RNA, C/D box 154 "
SNORD155,"-small nucleolar RNA, C/D box 155 "
SNORD156,"-small nucleolar RNA, C/D box 156 "
SNORD157,"-small nucleolar RNA, C/D box 157 "
SNORD158,"-small nucleolar RNA, C/D box 158 "
SNORD159,"-small nucleolar RNA, C/D box 159 "
SNORD160,"-small nucleolar RNA, C/D box 160 "
SNORD161,"-small nucleolar RNA, C/D box 161 "
SNORD162,"-small nucleolar RNA, C/D box 162 "
SNORD163,"-small nucleolar RNA, C/D box 163 "
SNORD164,"-small nucleolar RNA, C/D box 164 "
SNORD165,"-small nucleolar RNA, C/D box 165 "
SNORD166,"-small nucleolar RNA, C/D box 166 "
SNORD167,"-small nucleolar RNA, C/D box 167 "
SNORD168,"-small nucleolar RNA, C/D box 168 "
SNORD169,"-small nucleolar RNA, C/D box 169 "
SNORD170,"-small nucleolar RNA, C/D box 170 "
SNORD172,"-small nucleolar RNA, C/D box 172 "
SNORD173,"-small nucleolar RNA, C/D box 173 "
SNORD175,"-small nucleolar RNA, C/D box 175 "
SNORD19B,"-small nucleolar RNA, C/D box 19B "
SNORD19C,"-small nucleolar RNA, C/D box 19C "
SNORD28B,"-small nucleolar RNA, C/D box 28B "
SNORD31B,"-small nucleolar RNA, C/D box 31B "
SNORD38C,"-small nucleolar RNA, C/D box 38C "
SNORD38D,"-small nucleolar RNA, C/D box 38D "
SNORD3E,"-small nucleolar RNA, C/D box 3E "
SNORD3F,"-small nucleolar RNA, C/D box 3F "
SNORD3G,"-small nucleolar RNA, C/D box 3G "
SNORD3H,"-small nucleolar RNA, C/D box 3H "
SNORD3I,"-small nucleolar RNA, C/D box 3I "
SNORD3J,"-small nucleolar RNA, C/D box 3J "
SNORD3K,"-small nucleolar RNA, C/D box 3K "
SNORD53B,"-small nucleolar RNA, C/D box 53B "
SNORD63B,"-small nucleolar RNA, C/D box 63B "
SNORD65B,"-small nucleolar RNA, C/D box 65B "
SNORD65C,"-small nucleolar RNA, C/D box 65C "
SNORD70B,"-small nucleolar RNA, C/D box 70B "
SNORD74B,"-small nucleolar RNA, C/D box 74B "
SNORD77B,"-small nucleolar RNA, C/D box 77B "
SNORA100,"-small nucleolar RNA, H/ACA box 100 "
SNORA101A,"-small nucleolar RNA, H/ACA box 101A "
SNORA103,"-small nucleolar RNA, H/ACA box 103 "
SNORA104,"-small nucleolar RNA, H/ACA box 104 "
SNORA105A,"-small nucleolar RNA, H/ACA box 105A "
SNORA105B,"-small nucleolar RNA, H/ACA box 105B "
SNORA105C,"-small nucleolar RNA, H/ACA box 105C "
SNORA107,"-small nucleolar RNA, H/ACA box 107 "
SNORA108,"-small nucleolar RNA, H/ACA box 108 "
SNORA109,"-small nucleolar RNA, H/ACA box 109 "
SNORA10B,"-small nucleolar RNA, H/ACA box 10B "
SNORA110,"-small nucleolar RNA, H/ACA box 110 "
SNORA111,"-small nucleolar RNA, H/ACA box 111 "
SNORA112,"-small nucleolar RNA, H/ACA box 112 "
SNORA113,"-small nucleolar RNA, H/ACA box 113 "
SNORA114,"-small nucleolar RNA, H/ACA box 114 "
SNORA115,"-small nucleolar RNA, H/ACA box 115 "
SNORA116,"-small nucleolar RNA, H/ACA box 116 "
SNORA117,"-small nucleolar RNA, H/ACA box 117 "
SNORA118,"-small nucleolar RNA, H/ACA box 118 "
SNORA119,"-small nucleolar RNA, H/ACA box 119 "
SNORA11B,"-small nucleolar RNA, H/ACA box 11B "
SNORA11C,"-small nucleolar RNA, H/ACA box 11C "
SNORA11D,"-small nucleolar RNA, H/ACA box 11D "
SNORA11E,"-small nucleolar RNA, H/ACA box 11E "
SNORA11F,"-small nucleolar RNA, H/ACA box 11F "
SNORA11G,"-small nucleolar RNA, H/ACA box 11G "
SNORA120,"-small nucleolar RNA, H/ACA box 120 "
SNORA15B-1,"-small nucleolar RNA, H/ACA box 15B-1 "
SNORA1B,"-small nucleolar RNA, H/ACA box 1B "
SNORA20B,"-small nucleolar RNA, H/ACA box 20B "
SNORA21B,"-small nucleolar RNA, H/ACA box 21B "
SNORA22B,"-small nucleolar RNA, H/ACA box 22B "
SNORA22C,"-small nucleolar RNA, H/ACA box 22C "
SNORA24B,"-small nucleolar RNA, H/ACA box 24B "
SNORA25B,"-small nucleolar RNA, H/ACA box 25B "
SNORA30B,"-small nucleolar RNA, H/ACA box 30B "
SNORA31B,"-small nucleolar RNA, H/ACA box 31B "
SNORA35B,"-small nucleolar RNA, H/ACA box 35B "
SNORA36C,"-small nucleolar RNA, H/ACA box 36C "
SNORA38B,"-small nucleolar RNA, H/ACA box 38B "
SNORA3C,"-small nucleolar RNA, H/ACA box 3C "
SNORA40B,"-small nucleolar RNA, H/ACA box 40B "
SNORA40C,"-small nucleolar RNA, H/ACA box 40C "
SNORA41B,"-small nucleolar RNA, H/ACA box 41B "
SNORA48B,"-small nucleolar RNA, H/ACA box 48B "
SNORA50B,"-small nucleolar RNA, H/ACA box 50B "
SNORA50D,"-small nucleolar RNA, H/ACA box 50D "
SNORA58B,"-small nucleolar RNA, H/ACA box 58B "
SNORA63B,"-small nucleolar RNA, H/ACA box 63B "
SNORA63C,"-small nucleolar RNA, H/ACA box 63C "
SNORA63D,"-small nucleolar RNA, H/ACA box 63D "
SNORA63E,"-small nucleolar RNA, H/ACA box 63E "
SNORA68B,"-small nucleolar RNA, H/ACA box 68B "
SNORA70B,"-small nucleolar RNA, H/ACA box 70B "
SNORA70H,"-small nucleolar RNA, H/ACA box 70H "
SNORA70I,"-small nucleolar RNA, H/ACA box 70I "
SNORA70J,"-small nucleolar RNA, H/ACA box 70J "
SNORA74C-1,"-small nucleolar RNA, H/ACA box 74C-1 "
SNORA74C-2,"-small nucleolar RNA, H/ACA box 74C-2 "
SNORA74D,"-small nucleolar RNA, H/ACA box 74D "
SNORA75B,"-small nucleolar RNA, H/ACA box 75B "
SNORA77B,"-small nucleolar RNA, H/ACA box 77B "
SNORA79B,"-small nucleolar RNA, H/ACA box 79B "
SNORA80C,"-small nucleolar RNA, H/ACA box 80C "
SNORA80D,"-small nucleolar RNA, H/ACA box 80D "
SNORA84,"-small nucleolar RNA, H/ACA box 84 "
SNORA86,"-small nucleolar RNA, H/ACA box 86 "
SNORA87,"-small nucleolar RNA, H/ACA box 87 "
SNORA88,"-small nucleolar RNA, H/ACA box 88 "
SNORA89,"-small nucleolar RNA, H/ACA box 89 "
SNORA90,"-small nucleolar RNA, H/ACA box 90 "
SNORA91,"-small nucleolar RNA, H/ACA box 91 "
SNORA92,"-small nucleolar RNA, H/ACA box 92 "
SNORA93,"-small nucleolar RNA, H/ACA box 93 "
SNORA94,"-small nucleolar RNA, H/ACA box 94 "
SNORA95,"-small nucleolar RNA, H/ACA box 95 "
SNORA98,"-small nucleolar RNA, H/ACA box 98 "
SNORA99,"-small nucleolar RNA, H/ACA box 99 "
SNORA9B,"-small nucleolar RNA, H/ACA box 9B "
SPRR2A,-small proline rich protein 2A 
SPRR2B,-small proline rich protein 2B 
SPRR2C,-small proline rich protein 2C (pseudogene) 
SPRR2D,-small proline rich protein 2D 
SPRR2E,-small proline rich protein 2E 
SPRR2F,-small proline rich protein 2F 
SPRR2G,-small proline rich protein 2G 
SPRR3,-small proline rich protein 3 
SPRR4,-small proline rich protein 4 
SPRR5,-small proline rich protein 5 
LOC100422227,-small ubiquitin-like modifier 1 pseudogene 
LOC728825,-small ubiquitin-like modifier 2 
LOC101929087,-small ubiquitin-related modifier 2 pseudogene 
LOC107985131,-small ubiquitin-related modifier 2 pseudogene 
LOC112268141,-small ubiquitin-related modifier 2-like 
SMARCA5-AS1,-SMARCA5 antisense RNA 1 
SMC2-AS1,-SMC2 antisense RNA 1 (head to head) 
SMG1P1,-SMG1 pseudogene 1 
SMG1P2,-SMG1 pseudogene 2 
SMG1P3,-SMG1 pseudogene 3 
SMG1P4,-SMG1 pseudogene 4 
SMG1P5,-SMG1 pseudogene 5 
SMG1P6,-SMG1 pseudogene 6 
SMG1P7,-SMG1 pseudogene 7 
SMIM10L2B-AS1,-SMIM10L2B antisense RNA 1 
SMCR6,"-Smith-Magenis syndrome chromosome region, candidate 6 "
SQTL1,-Smoking as a quantitative trait locus 1 
SQTL2,-Smoking as a quantitative trait locus 2 
SMTNL2,-smoothelin like 2 
SMUG1-AS1,-SMUG1 antisense RNA 1 
SMYD3-IT1,-SMYD3 intronic transcript 1 
SNAI3-AS1,-SNAI3 antisense RNA 1 
SNAP25-AS1,-SNAP25 antisense RNA 1 
SNCA-AS1,-SNCA antisense RNA 1 
SNRK-AS1,-SNRK antisense RNA 1 
SNTG2-AS1,-SNTG2 antisense RNA 1 
LOC647503,"-SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5) pseudogene "
LOC100289037,"-SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5) pseudogene "
LOC652549,-SNW domain containing 1 pseudogene 
SOCS2-AS1,-SOCS2 antisense RNA 1 
SCNM1,-sodium channel modifier 1 
LOC102724223,-sodium- and chloride-dependent creatine transporter 1-like 
LOC102723945,-sodium/hydrogen exchanger 9B1-like 
LOC100462648,-sodium/potassium transporting ATPase interacting 1 pseudogene 
NKAIN1P1,-sodium/potassium transporting ATPase interacting 1 pseudogene 1 
LOC100422510,-solute carrier family 12 member 3 pseudogene 
SLC15A5,-solute carrier family 15 member 5 
SLC16A14P1,-solute carrier family 16 member 14 pseudogene 1 
LOC100130121,-solute carrier family 19 member 3 pseudogene 
LOC100420667,-solute carrier family 19 member 3 pseudogene 
SLC2A3P2,-solute carrier family 2 member 3 pseudogene 2 
SLC2A3P4,-solute carrier family 2 member 3 pseudogene 4 
SLC2AXP1,-solute carrier family 2 pseudogene 1 
SLC20A1P1,-solute carrier family 20 member 1 pseudogene 1 
SLC20A1P2,-solute carrier family 20 member 1 pseudogene 2 
SLC20A1P3,-solute carrier family 20 member 1 pseudogene 3 
SLC22A31,-solute carrier family 22 member 31 
LOC102724738,-solute carrier family 25 member 1 pseudogene 
SLC25A1P1,-solute carrier family 25 member 1 pseudogene 1 
SLC25A1P2,-solute carrier family 25 member 1 pseudogene 2 
SLC25A1P3,-solute carrier family 25 member 1 pseudogene 3 
SLC25A1P4,-solute carrier family 25 member 1 pseudogene 4 
SLC25A1P5,-solute carrier family 25 member 1 pseudogene 5 
SLC25A14P1,-solute carrier family 25 member 14 pseudogene 1 
SLC25A15P2,-solute carrier family 25 member 15 pseudogene 2 
SLC25A15P3,-solute carrier family 25 member 15 pseudogene 3 
SLC25A15P4,-solute carrier family 25 member 15 pseudogene 4 
SLC25A15P5,-solute carrier family 25 member 15 pseudogene 5 
SLC25A18P1,-solute carrier family 25 member 18 pseudogene 1 
SLC25A3P1,-solute carrier family 25 member 3 pseudogene 1 
SLC25A3P2,-solute carrier family 25 member 3 pseudogene 2 
SLC25A3P3,-solute carrier family 25 member 3 pseudogene 3 
LOC653698,-solute carrier family 25 member 33 pseudogene 
SLC25A34,-solute carrier family 25 member 34 
SLC25A35,-solute carrier family 25 member 35 
SLC25A38P1,-solute carrier family 25 member 38 pseudogene 1 
SLC25A39P1,-solute carrier family 25 member 39 pseudogene 1 
SLC25A43,-solute carrier family 25 member 43 
LOC100420845,-solute carrier family 25 member 43 pseudogene 
SLC25A44,-solute carrier family 25 member 44 
SLC25A45,-solute carrier family 25 member 45 
SLC25A47P1,-solute carrier family 25 member 47 pseudogene 1 
SLC25A48,-solute carrier family 25 member 48 
SLC25A5P2,-solute carrier family 25 member 5 pseudogene 2 
SLC25A5P4,-solute carrier family 25 member 5 pseudogene 4 
SLC25A5P8,-solute carrier family 25 member 5 pseudogene 8 
SLC25A5P9,-solute carrier family 25 member 5 pseudogene 9 
LOC644261,-solute carrier family 25 member 53 pseudogene 
LOC100422685,-solute carrier family 25 member 6 pseudogene 
SLC25A6P2,-solute carrier family 25 member 6 pseudogene 2 
SLC25A6P3,-solute carrier family 25 member 6 pseudogene 3 
SLC25A6P4,-solute carrier family 25 member 6 pseudogene 4 
SLC25A6P5,-solute carrier family 25 member 6 pseudogene 5 
SLC25A6P6,-solute carrier family 25 member 6 pseudogene 6 
SLC26A10,-solute carrier family 26 member 10 
SLC26A11,-solute carrier family 26 member 11 
SLC26A6,-solute carrier family 26 member 6 
SLC26A9,-solute carrier family 26 member 9 
SLC29A4P1,-solute carrier family 29 member 4 pseudogene 1 
SLC29A4P2,-solute carrier family 29 member 4 pseudogene 2 
LOC100533846,-solute carrier family 30 member 5 pseudogene 
LOC100422091,-solute carrier family 30 member 6 pseudogene 
LOC100423044,-solute carrier family 34 member 2 pseudogene 
SLC35A4,-solute carrier family 35 member A4 
SLC35A5,-solute carrier family 35 member A5 
LOC100129483,-solute carrier family 35 member C2 pseudogene 
SLC35E1,-solute carrier family 35 member E1 
SLC35E1P1,-solute carrier family 35 member E1 pseudogene 1 
LOC100132179,-solute carrier family 35 member E3 pseudogene 
SLC35E4,-solute carrier family 35 member E4 
SLC35F3,-solute carrier family 35 member F3 
SLC35F5,-solute carrier family 35 member F5 
SLC37A3,-solute carrier family 37 member 3 
LOC100131725,-solute carrier family 39 member 14 pseudogene 
SLC4A1APP1,-solute carrier family 4 member 1 adaptor protein pseudogene 1 
SLC4A1APP2,-solute carrier family 4 member 1 adaptor protein pseudogene 2 
LOC100422524,-solute carrier family 4 member 8 pseudogene 
LOC100130329,-solute carrier family 41 member 2 pseudogene 
LOC100420669,-solute carrier family 44 member 3 pseudogene 
SLC45A4,-solute carrier family 45 member 4 
LOC100420693,-solute carrier family 47 member 2 pseudogene 
LOC100422548,-solute carrier family 5 member 4 pseudogene 
LOC100422549,-solute carrier family 5 member 4 pseudogene 
SLC5A4P1,-solute carrier family 5 member 4 pseudogene 1 
LOC100422417,-solute carrier family 6 member 14 pseudogene 
LOC100422432,-solute carrier family 6 member 14 pseudogene 
LOC100462652,-solute carrier family 6 member 14 pseudogene 
LOC110806262,-solute carrier family 6 member 4 gene promoter 
SLC6A10PB,-solute carrier family 6 member 8 pseudogene 
LOC100422614,-solute carrier family 7 member 13 pseudogene 
LOC284379,-solute carrier family 7 member 3 pseudogene 
LOC100422610,-solute carrier family 7 member 3 pseudogene 
SLC7A6OS,-solute carrier family 7 member 6 opposite strand 
SLC9A3P2,-solute carrier family 9 member 3 pseudogene 2 
SLC9A3P3,-solute carrier family 9 member 3 pseudogene 3 
SLC9A7P1,-solute carrier family 9 member 7 pseudogene 1 
LOC100422471,-solute carrier family 9 member A2 pseudogene 
SLC9B1P3,-solute carrier family 9 member B1 pseudogene 3 
SLC9B1P4,-solute carrier family 9 member B1 pseudogene 4 
SLC9B1P5,-solute carrier family 9 member B1 pseudogene 5 
SMBD1P,"-somatomedin B domain containing 1, pseudogene "
SSTR2,-somatostatin receptor 2 
SONP1,-SON pseudogene 1 
SRIP2,-sorcin pseudogene 2 
SRIP3,-sorcin pseudogene 3 
SORCS3-AS1,-SORCS3 antisense RNA 1 
SORCS2,-sortilin related VPS10 domain containing receptor 2 
SNX11,-sorting nexin 11 
SNX12,-sorting nexin 12 
SNX16,-sorting nexin 16 
SNX17,-sorting nexin 17 
LOC100419003,-sorting nexin 18 pseudogene 
LOC100419052,-sorting nexin 18 pseudogene 
LOC100533625,-sorting nexin 18 pseudogene 
SNX18P1Y,"-sorting nexin 18 pseudogene 1, Y-linked "
SNX18P10,-sorting nexin 18 pseudogene 10 
SNX18P11,-sorting nexin 18 pseudogene 11 
SNX18P12,-sorting nexin 18 pseudogene 12 
SNX18P13,-sorting nexin 18 pseudogene 13 
SNX18P14,-sorting nexin 18 pseudogene 14 
SNX18P15,-sorting nexin 18 pseudogene 15 
